一	一ＹＩ一
奔	大十廾Ｂ
臂	尸辛冃Ｂ
愣	忄罒方Ｌ
勇	<甬下>力Ｙ
套	大镸ＴＯ
剩	禾<北左>刂Ｓ
志	士心ＺＩ
舒	亼古<予下>Ｓ
端	立山<而下>Ｄ
虑	虍心ＬＵ
医	匚矢ＹＩ
妮	女尸匕Ｎ
炮	火勹巳Ｐ
蛋	乛<足下>虫Ｄ
卖	十乛头Ｍ
闹	门亠巾Ｎ
颜	立丿页Ｙ
归	<归左>彐ＧＩ
圈	囗Ｑ
限	阝艮ＸＮ
浮	氵爫子Ｆ
弃	<充上>廾ＱＩ
适	舌辶ＳＩ
软	<车旁>欠ＲＮ
抵	扌<卬左>七Ｄ
厚	厂日子Ｈ
帅	<归左>巾ＳＩ
尤	尢丶ＹＵ
讶	讠一<牙下>Ｙ
广	广ＧＧ丶
范	<艹氵>ＦＮ
桌	<卓上>日木Ｚ
欣	斤欠ＸＮ
病	疒一内Ｂ
共	八ＧＧ
职	耳口八Ｚ
诸	讠者ＺＵ
镇	钅十八Ｚ
专	二<专下>ＺＮ
值	亻十<具上>Ｚ
偏	亻户冊Ｐ
杂	九朩ＺＡ
增	土丷日Ｚ
豪	<亮上>豕ＨＯ
咬	口亠父Ｙ
触	用虫Ｃ
陷	阝臼Ｘ
雾	<雨头>夂力Ｗ
挺	扌壬廴Ｔ
炎	火火ＹＮ
稳	禾心Ｗ
择	扌又<举下>Ｚ
巧	工丂ＱＯ
胖	月半ＰＧ
附	阝亻寸Ｆ
盯	目丁ＤＧ
碰	石<首上>业Ｐ
纪	纟己ＪＩ
阶	阝人<齐下>Ｊ
谷	八<谷下>ＧＵ
嗯	口囗心Ｎ
岛	<鸟上>山ＤＯ
夏	丆目夂Ｘ
扫	扌彐ＳＯ
潜	氵夫日Ｑ
毁	臼工殳Ｈ
项	工页ＸＧ
旋	<旗角>乛<足下>Ｘ
抢	扌人Ｑ
抽	扌由ＣＵ
优	亻尢丶Ｙ
迪	由辶ＤＩ
涌	氵<甬下>Ｙ
网	冂乂乂Ｗ
祖	礻且ＺＵ
拜	一丰Ｂ
测	氵贝刂Ｃ
伟	亻二<韦下>Ｗ
案	宀女木Ａ
列	歹刂ＬＥ
谓	讠田冃Ｗ
操	扌口木Ｃ
春	日ＣＮ
店	广占ＤＮ
瑞	王山<而下>Ｒ
善	羊<首上>口Ｓ
逼	畐辶ＢＩ
浑	氵冖车Ｈ
输	<车旁>亼<前下>Ｓ
烧	火<尧上>儿Ｓ
瞪	目癶<首上>Ｄ
慕	莫ＭＵ
懂	忄艹里Ｄ
富	宀畐ＦＵ
汗	氵干ＨＮ
侧	亻贝刂Ｃ
赤	土<赤下>ＣＩ
率	亠幺十Ｌ
杯	木不ＢＩ
京	<享上>小ＪＧ
吉	吉ＪＩ一
滚	氵亠<衣下>Ｇ
曼	日罒又Ｍ
浩	氵口Ｈ
获	艹犭大Ｈ
轮	<车旁>人匕Ｌ
损	扌口贝Ｓ
抖	扌斗ＤＵ
累	田幺小Ｌ
讨	讠寸ＴＯ
苍	艹人Ｃ
悄	忄冃Ｑ
养	丶<齐下>Ｙ
塞	宀<冓上>土Ｓ
鸣	口鸟ＭＧ
挂	扌圭ＧＡ
胆	月日一Ｄ
孤	子瓜ＧＵ
傻	亻<囱框>夂Ｓ
陪	阝立口Ｐ
镜	钅音儿Ｊ
凶	乂凵ＸＧ
吐	口土ＴＵ
杜	木土ＤＵ
猜	犭月Ｃ
庞	广龙ＰＧ
幕	莫巾ＭＵ
琳	王林ＬＮ
蛇	虫宀匕Ｓ
拼	扌丷开Ｐ
孔	子乚ＫＧ
盖	皿ＧＩ
材	木才ＣＩ
扎	扌乚ＺＡ
爸	父巴ＢＡ
预	<予下>页Ｙ
晃	日儿Ｈ
闷	门心ＭＮ
姓	女丿Ｘ
莱	艹未丷Ｌ
仔	亻子ＺＩ
吟	口今ＹＮ
遍	户冊辶Ｂ
彻	彳七刀Ｃ
纯	纟七凵Ｃ
伦	亻人匕Ｌ
盗	冫欠皿Ｄ
愤	忄十贝Ｆ
困	囗木ＫＮ
缘	纟彑<豕下>Ｙ
纵	纟从ＺＧ
啸	口<秉中><肃下>Ｘ
夺	大寸ＤＯ
壁	尸辛土Ｂ
宋	宀木ＳＧ
估	亻古ＧＵ
介	人<齐下>ＪＥ
画	一田凵Ｈ
庄	广土ＺＧ
狗	犭勹口Ｇ
沈	氵<巾变>乚Ｓ
贼	贝戈Ｚ
补	衤卜ＢＵ
摩	广林手Ｍ
脉	月丶<永下>Ｍ
泰	氺ＴＩ
痕	疒艮ＨＮ
燕	廿口灬Ｙ
折	扌斤ＺＥ
劫	土厶力Ｊ
演	氵穴一Ｙ
灰	火ＨＩ
伏	亻大丶Ｆ
悠	亻攵心Ｙ
婆	氵皮女Ｐ
创	人刂Ｃ
研	石开ＹＮ
含	今口ＨＮ
写	冖与ＸＥ
凯	山己几Ｋ
岳	丘山ＹＥ
午	午ＷＵ丿
池	氵也ＣＩ
睁	目亅Ｚ
萨	艹阝丿Ｓ
暂	<车旁>斤日Ｚ
闲	门木ＸＮ
概	木<即左>旡Ｇ
逐	豕辶ＺＵ
旦	日一ＤＮ
登	癶一<首上>Ｄ
误	讠口大Ｗ
戒	戈廾ＪＥ
村	木寸ＣＮ
街	彳圭亍Ｊ
跃	丿大Ｙ
牌	片卑ＰＩ
廷	壬廴ＴＧ
罩	罒<卓上>十Ｚ
斩	<车旁>斤ＺＮ
班	王<班中>王Ｂ
爵	爫<即左>寸Ｊ
陛	阝比土Ｂ
膀	月<旁上>方Ｂ
迟	尺辶ＣＩ
踪	宀示Ｚ
替	夫夫日Ｔ
谋	讠廿木Ｍ
伴	亻半ＢＮ
霸	<雨头>革月Ｂ
傅	亻甫寸Ｆ
怜	忄今丶Ｌ
乌	乌ＷＵ丿
曲	日<临左>ＱＵ
瞧	目隹灬Ｑ
惧	忄<具上>八Ｊ
俊	亻厶夂Ｊ
歌	可可欠Ｇ
咒	吅几ＺＵ
漂	氵覀示Ｐ
嘻	口吉口Ｘ
倍	亻立口Ｂ
采	爫木ＣＩ
昨	日乍ＺＯ
互	一彑ＨＵ
鹰	广亻鸟Ｙ
蒂	艹<旁上>巾Ｄ
舍	亼古ＳＥ
慌	忄艹<流角>Ｈ
糊	米古月Ｈ
犯	犭ＦＮ
扭	扌丑ＮＵ
判	<半变>刂ＰＮ
丢	千一厶Ｄ
羞	丑ＸＵ
昏	<卬左>七日Ｈ
竹	竹ＺＵ丿
唤	口大Ｈ
忧	忄尢丶Ｙ
锐	钅丷儿Ｒ
琴	王王乛Ｑ
宽	宀艹见Ｋ
莲	艹车辶Ｌ
躯	身匚乂Ｑ
郎	丶<即左>阝Ｌ
疼	疒夂<冬下>Ｔ
席	广廿巾Ｘ
伍	亻五ＷＵ
剧	尸古刂Ｊ
碧	王白石Ｂ
征	彳一止Ｚ
鸟	鸟ＮＯ丿
赞	贝Ｚ
丈	丈ＺＧ一
侍	亻土寸Ｓ
悉	丿米心Ｘ
漫	氵日又Ｍ
缩	纟宀日Ｓ
帐	巾长ＺＧ
遭	<曹上>日辶Ｚ
坦	土日一Ｔ
喃	口<南上><首上>Ｎ
悟	忄五口Ｗ
壮	丬士ＺＧ
辰	厂<辰内>ＣＮ
貌	豸白儿Ｍ
鼻	自田丌Ｂ
聊	耳<卯左>卩Ｌ
怨	夕心Ｙ
弓	弓ＧＧ乛
绕	纟<尧上>儿Ｒ
私	禾厶ＳＩ
耀	儿隹Ｙ
财	贝才ＣＩ
掩	扌大乚Ｙ
吞	一大口Ｔ
织	纟口八Ｚ
监	<临左><半竹>皿Ｊ
洗	氵儿Ｘ
佩	亻<风上>一Ｐ
融	一冂虫Ｒ
插	扌千臼Ｃ
梁	氵刀木Ｌ
忠	中心ＺＧ
悲	非心ＢＩ
笔	毛ＢＩ
迫	白辶ＰＯ
凉	冫<享上>小Ｌ
丫	丷丨ＹＡ
鼓	吉<首上>又Ｇ
豫	<予下>象Ｙ
亦	亠<赤下>ＹＩ
敏	母攵Ｍ
狱	犭大丶Ｙ
召	刀口ＺＯ
佣	亻用ＹＧ
忆	忄乙ＹＩ
朵	几木ＤＯ
博	十甫寸Ｂ
狐	犭瓜ＨＵ
吹	口欠ＣＩ
拔	扌犮ＢＡ
荣	艹冖木Ｒ
劳	艹冖力Ｌ
茶	艹人朩Ｃ
缠	纟广里Ｃ
盛	戊皿Ｓ
磨	广林石Ｍ
浓	氵<巾变><辰下>Ｎ
净	冫亅Ｊ
仰	亻<卬左>卩Ｙ
遥	爫缶辶Ｙ
废	广发ＦＩ
恭	八Ｇ
菜	艹爫木Ｃ
阁	门各ＧＥ
缺	缶夬ＱＥ
粗	米且ＣＵ
躺	身冂Ｔ
宣	宀一一Ｘ
桑	又又木Ｓ
绍	纟刀口Ｓ
惯	忄毌贝Ｇ
遗	<贵上>贝辶Ｙ
晕	日冖车Ｙ
执	执ＺＩ一
喷	口十贝Ｐ
刹	乂朩刂Ｓ
努	女又力Ｎ
脆	月Ｃ
轩	<车旁>干ＸＮ
佳	亻圭ＪＡ
耗	耒毛ＨＯ
窗	穴<囱框>夂Ｃ
积	禾口八Ｊ
策	木冂Ｃ
辉	儿车Ｈ
灯	火丁ＤＧ
辛	辛ＸＮ丶
援	扌爫又Ｙ
堆	土隹ＤＩ
扶	扌夫ＦＵ
踏	水日Ｔ
库	广车ＫＵ
屁	尸比ＰＩ
唇	厂<辰内>口Ｃ
奴	女又ＮＵ
翔	羽ＸＧ
熊	厶匕灬Ｘ
粉	米八刀Ｆ
勒	革力ＬＥ
尾	尸毛ＷＩ
批	扌比ＰＩ
乖	千<北左>匕Ｇ
艳	丰巴Ｙ
趁	走人彡Ｃ
慧	丰丰心Ｈ
姬	女匚丨Ｊ
爬	爪巴ＰＡ
隆	阝夂Ｌ
怖	忄巾Ｂ
赏	口贝Ｓ
晨	日厂<辰内>Ｃ
刃	刀丶ＲＮ
媚	女<声下>目Ｍ
耐	丆<而下>寸Ｎ
拖	扌也Ｔ
丰	丰ＦＧ一
码	石马ＭＡ
诚	讠戊Ｃ
律	彳<秉中><举下>Ｌ
乃	乃ＮＩ乛
赫	土<赤下><赤下>Ｈ
曹	<曹上>日ＣＯ
岂	山己ＱＩ
固	囗古ＧＵ
洁	氵吉ＪＥ
盾	十目Ｄ
社	礻土ＳＥ
郭	<享上>子阝Ｇ
骗	马户冊Ｐ
滑	氵骨ＨＡ
霄	<雨头>冃Ｘ
隔	阝一冂Ｇ
纸	纟<卬左>七Ｚ
戴	十戈八Ｄ
额	宀各页Ｅ
惹	艹心Ｒ
撤	扌<充上>攵Ｃ
荒	艹亡<流角>Ｈ
季	禾子ＪＩ
延	丿<延止>廴Ｙ
痴	疒矢口Ｃ
锁	钅贝Ｓ
旗	<旗角>其ＱＩ
撒	扌攵Ｓ
郁	冃阝Ｙ
典	冂八Ｄ
颇	皮页ＰＯ
侯	亻<候角>矢Ｈ
园	囗元ＹＮ
振	扌厂<辰内>Ｚ
仪	亻丶乂Ｙ
省	少目ＳＧ
猎	犭日Ｌ
殊	歹朱ＳＵ
绪	纟者ＸＵ
跪	Ｇ
玛	王马ＭＡ
抚	扌<干变>乚Ｆ
油	氵由ＹＵ
委	禾女ＷＩ
纹	纟文ＷＮ
泉	白水ＱＮ
滴	氵<商外>古Ｄ
洪	氵八Ｈ
启	户口ＱＩ
供	亻八Ｇ
忌	己心ＪＩ
拦	扌<首上>二Ｌ
祭	<祭上>示ＪＩ
妻	十<秉中>女Ｑ
贴	贝占ＴＥ
妇	女彐ＦＵ
庆	广大ＱＧ
擦	扌宀示Ｃ
币	丿巾ＢＩ
婚	女<卬左>日Ｈ
牢	宀牛ＬＯ
仁	亻二ＲＮ
甘	廿一ＧＮ
奶	女乃ＮＩ
径	彳<经角>工Ｊ
倾	亻<比左>页Ｑ
符	亻寸Ｆ
赌	贝者ＤＵ
钻	钅占ＺＮ
蛮	<变上>虫ＭＮ
矮	矢禾女Ａ
唉	口厶矢Ａ
堡	亻口土Ｂ
馆	饣宀<官下>Ｇ
宜	宀且ＹＩ
姿	冫欠女Ｚ
爽	大乂乂Ｓ
堪	土其乚Ｋ
焦	隹灬ＪＯ
劈	尸辛刀Ｐ
零	<雨头>今丶Ｌ
薄	<艹氵>甫寸Ｂ
扰	扌尢丶Ｒ
艘	舟叟ＳＵ
耶	耳阝ＹＥ
牧	牜攵ＭＵ
益	<首上>八皿Ｙ
朗	丶<即左>月Ｌ
挣	扌亅Ｚ
递	丷弓辶Ｄ
匆	勹<两撇>丶Ｃ
肖	冃ＸＯ
婷	女<亮上>丁Ｔ
亏	二<亏下>ＫＩ
袍	衤勹巳Ｐ
燃	火丶灬Ｒ
扯	扌止ＣＥ
叛	<半变>又Ｐ
胁	月力八Ｘ
拒	扌匚<右框>Ｊ
肚	月土ＤＵ
皆	比白ＪＥ
柱	木主ＺＵ
墨	黑土ＭＯ
董	艹千里Ｄ
砸	石匚巾Ｚ
莎	<艹氵>少ＳＡ
液	氵亠夂Ｙ
辆	<车旁>两ＬＧ
途	亼朩辶Ｔ
岩	山石ＹＮ
芳	艹方ＦＧ
慰	尸寸心Ｗ
户	户ＨＵ丶
烂	火<首上>二Ｌ
欺	其欠ＱＩ
针	钅十ＺＮ
砍	石欠ＫＮ
筑	工几Ｚ
醉	酉亠十Ｚ
扔	扌乃ＲＧ
洲	氵州ＺＵ
协	十力八Ｘ
驾	加马ＪＡ
享	<享上>子ＸＧ
漠	氵莫ＭＯ
巫	工从ＷＵ
莹	艹冖王Ｙ
撑	扌手Ｃ
郑	<首上>大阝Ｚ
眨	目丿之Ｚ
赢	<赢框>贝ＹＧ
恼	忄文凵Ｎ
珍	王人彡Ｚ
虫	虫ＣＧ丨
康	广彐水Ｋ
椅	木大可Ｙ
俩	亻两ＬＡ
旅	<旗角>丿<辰下>Ｌ
货	亻<化右>贝Ｈ
减	冫戊一Ｊ
尝	云ＣＧ
盈	乃又皿Ｙ
愧	忄白<见下>Ｋ
邦	<丰变>阝ＢＧ
骇	马亥ＨＩ
餐	<卓上>又食Ｃ
埋	土里ＭＩ
瑟	王心丿Ｓ
抛	扌九力Ｐ
吻	口勹<两撇>Ｗ
敲	<高外><卓上>又Ｑ
猫	犭艹田Ｍ
侵	亻彐又Ｑ
弯	<变上>弓ＷＮ
茫	<艹氵>亡ＭＧ
悔	忄母Ｈ
喘	口山<而下>Ｃ
穴	穴ＸＥ丶
玲	王今丶Ｌ
勾	勹厶ＧＵ
哎	口艹乂Ａ
截	十戈隹Ｊ
舌	舌ＳＥ丿
肃	<秉中><肃下>ＳＵ
牵	大冖牛Ｑ
例	亻歹刂Ｌ
庭	广壬廴Ｔ
彼	彳皮ＢＩ
宙	宀由ＺＵ
氏	<卬左>七ＳＩ
夹	夫丷ＪＡ
霜	<雨头>相ＳＧ
仗	亻丈ＺＧ
济	氵文<齐下>Ｊ
吕	口口ＬＵ
渊	氵<齐下>米Ｙ
卓	<卓上>日十Ｚ
甜	舌廿一Ｔ
笼	龙ＬＧ
柄	木一内Ｂ
嘉	吉<首上>加Ｊ
诡	讠Ｇ
姆	女母ＭＵ
脖	月十子Ｂ
爹	父夕夕Ｄ
霍	<雨头>隹ＨＯ
抹	扌末ＭＯ
艺	艹乙ＹＩ
倩	亻月Ｑ
秒	禾少ＭＯ
昂	日<卬左>卩Ａ
踢	日勹Ｔ
哀	<享上><衣下>ＡＩ
末	末ＭＯ一
奉	<举下>ＦＧ
劝	又力ＱＮ
腹	月夂Ｆ
钢	钅冂乂Ｇ
宏	宀厶Ｈ
爪	爪ＺＡ丿
挤	扌文<齐下>Ｊ
泽	氵又<举下>Ｚ
鸿	氵工鸟Ｈ
核	木亥ＨＥ
侠	亻夫丷Ｘ
猪	犭者ＺＵ
疾	疒矢ＪＩ
瓶	丷开瓦Ｐ
僵	亻一一Ｊ
乘	禾<北左>匕Ｃ
寂	宀小又Ｊ
粮	米丶艮Ｌ
聪	耳丷心Ｃ
诱	讠禾乃Ｙ
懒	忄木贝Ｌ
搭	扌艹口Ｄ
潮	氵十月Ｃ
鹏	月月鸟Ｐ
魏	禾女<见下>Ｗ
咐	口亻寸Ｆ
鸡	又鸟ＪＩ
肤	月夫ＦＵ
薇	艹<微框>几Ｗ
弥	弓小Ｍ
瓦	瓦ＷＡ一
央	央ＹＧ丨
勉	<见下>力Ｍ
川	川ＣＮ丿
屈	尸凵山Ｑ
耸	从耳ＳＧ
匹	匚儿ＰＩ
尺	尺ＣＩ乛
喂	口田<畏下>Ｗ
丧	十<首上><辰下>Ｓ
悍	忄日干Ｈ
悬	且厶心Ｘ
拾	扌亼口Ｓ
晴	日月Ｑ
亿	亻乙ＹＩ
讯	讠乙十Ｘ
溜	氵刀田Ｌ
魄	白白<见下>Ｐ
帕	巾白ＰＡ
括	扌舌ＫＯ
孟	子皿ＭＧ
乔	丿大<齐下>Ｑ
怔	忄一止Ｚ
蕾	艹<雨头>田Ｌ
搜	扌叟ＳＵ
诗	讠土寸Ｓ
偶	亻甲冂Ｏ
均	土勹冫Ｊ
童	立里ＴＧ
覆	覀彳夂Ｆ
厌	厂大丶Ｙ
悦	忄丷儿Ｙ
载	十戈<车旁>Ｚ
掠	扌<享上>小Ｌ
垂	千<垂下>ＣＩ
琪	王其ＱＩ
泄	氵世ＸＥ
霞	<雨头>丨又Ｘ
港	氵巳Ｇ
袁	土口<衣下>Ｙ
臭	自大ＣＵ
衡	彳亍Ｈ
构	木勹厶Ｇ
肌	月几ＪＩ
词	讠一Ｃ
纤	纟千ＸＮ
票	覀示ＰＯ
诀	讠夬ＪＥ
饰	饣巾Ｓ
噬	口工Ｓ
宠	宀龙ＣＧ
脏	月广土Ｚ
袖	衤由ＸＵ
键	钅<秉中>廴Ｊ
穷	穴力ＱＧ
泥	氵尸匕Ｎ
驻	马主ＺＵ
眸	目厶牛Ｍ
航	舟亠几Ｈ
辞	舌辛ＣＩ
乡	<乡上>丿ＸＧ
催	亻山隹Ｃ
宿	宀亻日Ｓ
慎	忄十八Ｓ
魅	白<见下>未Ｍ
撕	扌其斤Ｓ
逆	丷<屮变>辶Ｎ
凑	冫大Ｃ
缝	纟夂辶Ｆ
歉	<首上><兼末>欠Ｑ
授	扌<爱上>又Ｓ
甩	月乚ＳＩ
映	日央ＹＧ
岸	山厂干Ａ
凰	<风上>白王Ｈ
唱	口日日Ｃ
奸	女干ＪＮ
陵	阝土夂Ｌ
崇	山宀示Ｃ
枚	木攵ＭＩ
读	讠十头Ｄ
暖	日爫又Ｎ
扩	扌广ＫＯ
狮	犭一巾Ｓ
瑶	王爫缶Ｙ
沿	氵几口Ｙ
渡	氵广又Ｄ
稀	禾乂巾Ｘ
搂	扌米女Ｌ
恋	<变上>心ＬＮ
捏	扌日土Ｎ
饶	饣<尧上>儿Ｒ
吩	口八刀Ｆ
笨	木一Ｂ
返	又辶Ｆ
赖	木口贝Ｌ
斥	斤丶ＣＩ
贤	<临左>又贝Ｘ
煞	攵灬Ｓ
询	讠勹日Ｘ
斜	亼朩斗Ｘ
撼	扌戊心Ｈ
眯	目米ＭＩ
铺	钅甫ＰＵ
咳	口亥ＫＥ
浅	氵一戈Ｑ
尬	尢人<齐下>Ｇ
尴	尢<临左><半竹>Ｇ
齿	止人凵Ｃ
洒	氵西ＳＡ
督	<卓上>又目Ｄ
奖	丬夕大Ｊ
卑	卑ＢＩ丿
染	氵九木Ｒ
促	亻足ＣＵ
弗	弓<齐下>ＦＵ
娅	女亚ＹＡ
麽	广林厶Ｍ
泛	氵丿之Ｆ
契	丰刀大Ｑ
酷	酉口Ｋ
罚	罒讠刂Ｆ
络	纟各ＬＯ
埃	土厶矢Ａ
课	讠日木Ｋ
屠	尸者ＴＵ
祸	礻口内Ｈ
汇	氵匚ＨＩ
疗	疒乛亅Ｌ
赐	贝日勹Ｃ
刑	开刂ＸＧ
夸	大二<亏下>Ｋ
雕	<周框>土隹Ｄ
检	木亼<应下>Ｊ
祥	礻羊ＸＧ
俗	亻八<谷下>Ｓ
俱	亻<具上>八Ｊ
摔	扌亠十Ｓ
屏	尸丷开Ｐ
麦	夂ＭＩ
闯	门马ＣＧ
予	<予下>ＹＵ
矿	石广ＫＧ
恒	忄一一Ｈ
郡	<秉中>丿阝Ｊ
呜	口乌ＷＵ
疲	疒皮ＰＩ
迈	丆辶Ｍ
寸	寸ＣＮ一
详	讠羊ＸＧ
亭	<亮上>丁ＴＧ
巡	巛辶ＸＮ
滋	氵<首上>幺Ｚ
葛	艹勹乚Ｇ
婴	贝贝女Ｙ
录	<录上>水ＬＵ
涛	氵<丰变>寸Ｔ
冠	冖元寸Ｇ
枝	木十又Ｚ
翅	十又羽Ｃ
窜	穴中ＣＮ
昆	日比ＫＮ
婉	女宀Ｗ
妃	女己ＦＩ
矛	<矛下>ＭＯ
蝶	虫世木Ｄ
瘦	疒叟ＳＵ
编	纟户冊Ｂ
俏	亻冃Ｑ
贪	今贝ＴＮ
繁	攵小Ｆ
绵	纟白巾Ｍ
棋	木其ＱＩ
斧	父斤ＦＵ
裹	亠日<衣下>Ｇ
姜	女ＪＧ
氛	气八刀Ｆ
後	彳幺夂Ｈ
乾	十十乙Ｑ
拨	扌发ＢＯ
慈	<首上>幺心Ｃ
瞒	目艹两Ｍ
嫣	女一<亏下>Ｙ
咕	口古ＧＵ
屑	尸冃Ｘ
铃	钅今丶Ｌ
辱	厂<辰内>寸Ｒ
雀	小隹ＱＥ
冯	冫马ＦＧ
允	厶儿ＹＮ
樱	木贝女Ｙ
愈	亼<前下>心Ｙ
宾	穴丘ＢＮ
晰	日木斤Ｘ
掏	扌勹缶Ｔ
措	扌日Ｃ
啪	口扌白Ｐ
誓	扌斤言Ｓ
农	<巾变><辰下>ＮＧ
糟	米<曹上>日Ｚ
驶	马口乂Ｓ
捉	扌足ＺＯ
祝	礻口儿Ｚ
朕	月<首上>大Ｚ
咯	口各ＫＡ
扮	扌八刀Ｂ
淫	氵爫壬Ｙ
鼠	臼<鼠下>ＳＵ
畏	田<畏下>ＷＩ
羊	羊ＹＧ丶
驱	马匚乂Ｑ
恰	忄亼口Ｑ
璃	王文冂Ｌ
芙	艹夫ＦＵ
烁	火<卬左>小Ｓ
岚	山风ＬＮ
梯	木丷弓Ｔ
裁	十戈<衣下>Ｃ
韵	音勹冫Ｙ
咽	口囗大Ｙ
辕	<车旁>土<衣下>Ｙ
夕	夕ＸＩ丿
涯	氵厂圭Ｙ
卢	<卓上>尸ＬＵ
碍	石日寸Ａ
幅	巾畐ＦＵ
扇	户羽ＳＮ
愕	忄吅<亏下>Ｅ
芸	艹云ＹＮ
哇	口圭ＷＡ
润	氵门王Ｒ
崩	山月月Ｂ
县	且厶ＸＮ
杖	木丈ＺＧ
汤	氵<乃上><两撇>Ｔ
翠	羽亠十Ｃ
健	亻<秉中>廴Ｊ
箱	相ＸＧ
恍	忄儿Ｈ
骷	骨古ＫＵ
捕	扌甫ＢＵ
育	<充上>冃ＹＵ
猴	犭<候角>矢Ｈ
遮	广廿辶Ｚ
泡	氵勹巳Ｐ
麟	<鹿上>米<舛右>Ｌ
扣	扌口ＫＵ
鼎	目<鼎左><鼎右>Ｄ
溃	氵<贵上>贝Ｋ
娃	女圭ＷＡ
髅	骨米女Ｌ
逍	冃辶Ｘ
述	木丶辶Ｓ
豹	豸勹丶Ｂ
评	讠干丷Ｐ
献	<南上><首上>丶Ｘ
涂	氵亼朩Ｔ
序	广<予下>Ｘ
铜	钅冂一Ｔ
饮	饣欠ＹＮ
灾	宀火ＺＩ
湿	氵日业Ｓ
冬	夂<冬下>ＤＧ
贫	八刀贝Ｐ
汹	氵乂凵Ｘ
党	口儿Ｄ
棒	木<举下>Ｂ
贯	毌贝ＧＮ
串	中口ＣＮ
丛	从一ＣＧ
昌	日日ＣＧ
棍	木日比Ｇ
嫁	女宀豕Ｊ
弘	弓厶ＨＧ
肥	月巴ＦＩ
穆	禾白彡Ｍ
挖	扌穴乙Ｗ
阔	门氵舌Ｋ
跌	失ＤＥ
丑	丑ＣＵ乛
赚	贝<首上><兼末>Ｚ
披	扌皮ＰＩ
漆	氵木氺Ｑ
奏	一大Ｚ
贺	加贝ＨＥ
喉	口<候角>矢Ｈ
酸	酉厶夂Ｓ
捷	扌一<足下>Ｊ
卧	匚丨卜Ｗ
凄	冫十女Ｑ
割	宀口刂Ｇ
违	二<韦下>辶Ｗ
役	彳殳ＹＩ
坛	土云ＴＮ
砰	石干丷Ｐ
筋	月力Ｊ
裸	衤日木Ｌ
井	井ＪＧ一
涨	氵弓长Ｚ
沐	氵木ＭＵ
仓	人ＣＧ
巍	山女<见下>Ｗ
宴	宀日女Ｙ
饿	饣手戈Ｅ
鞭	革亻丈Ｂ
馨	士殳日Ｘ
瓜	瓜ＧＡ丿
骚	马又虫Ｓ
匪	匚非ＦＩ
耻	耳止ＣＩ
妄	亡女ＷＧ
肆	镸<秉中><举下>Ｓ
宛	宀夕Ｗ
裤	衤广车Ｋ
蠢	虫虫Ｃ
龟	日乚Ｇ
妥	爫女ＴＯ
霆	<雨头>壬廴Ｔ
雯	<雨头>文ＷＮ
吵	口少ＣＯ
驰	马也ＣＩ
嫩	女木攵Ｎ
审	宀日丨Ｓ
戈	戈ＧＥ一
款	士示欠Ｋ
桥	木丿<齐下>Ｑ
诧	讠宀七Ｃ
晌	日<向框>口Ｓ
勃	十子力Ｂ
搬	扌舟殳Ｂ
仆	亻卜ＰＵ
漏	氵尸雨Ｌ
械	木戈廾Ｘ
彭	吉<首上>彡Ｐ
盔	火皿Ｋ
灌	氵艹隹Ｇ
桃	木<兆左><兆右>Ｔ
黛	代黑ＤＩ
黎	禾勹氺Ｌ
饱	饣勹巳Ｂ
欠	欠ＱＮ丿
抑	扌<卬左>卩Ｙ
疆	弓土一Ｊ
嘶	口其斤Ｓ
辣	<辛变>木口Ｌ
纠	纟丩ＪＵ
签	亼<应下>Ｑ
购	贝勹厶Ｇ
镖	钅覀示Ｂ
揉	扌木Ｒ
愚	甲冂心Ｙ
勤	廿力Ｑ
誉	<应下>八言Ｙ
鄙	口囗阝Ｂ
衫	衤彡ＳＮ
珊	王册ＳＮ
弩	女又弓Ｎ
呈	口王ＣＧ
腕	月宀Ｗ
怡	忄厶口Ｙ
坠	阝人土Ｚ
腥	月日Ｘ
培	土立口Ｐ
牲	牜丿Ｓ
窝	穴口内Ｗ
障	阝音十Ｚ
锦	钅白巾Ｊ
蓉	艹宀<谷下>Ｒ
拢	扌龙ＬＧ
瞳	目立里Ｔ
麒	<鹿上>比其Ｑ
析	木斤ＸＩ
脾	月卑ＰＩ
涩	氵刀止Ｓ
蓦	莫马ＭＯ
铠	钅山己Ｋ
嘲	口十月Ｃ
毅	立<豕下>殳Ｙ
僧	亻丷日Ｓ
尉	尸示寸Ｗ
寺	土寸ＳＩ
链	钅车辶Ｌ
邀	白攵辶Ｙ
企	人止ＱＩ
蜜	宀心虫Ｍ
骤	马又乑Ｚ
趴	八ＰＡ
频	止<步下>页Ｐ
挨	扌厶矢Ａ
蒋	艹丬寸Ｊ
卿	<卯左><即左>卩Ｑ
植	木十<具上>Ｚ
刷	尸巾刂Ｓ
厂	厂ＣＧ一
歪	不一止Ｗ
嚣	吅页吅Ｘ
琼	王<享上>小Ｑ
耍	丆<而下>女Ｓ
龄	止凵丶Ｌ
拟	扌以ＮＩ
崖	山厂圭Ｙ
寨	宀<冓上>朩Ｚ
伐	亻戈ＦＡ
丘	丘ＱＵ丿
柯	木可ＫＥ
磊	石石石Ｌ
晋	亚日ＪＮ
艰	又艮ＪＮ
竞	立口儿Ｊ
碗	石宀Ｗ
慨	忄<即左>旡Ｋ
涉	氵止<步下>Ｓ
艇	舟壬廴Ｔ
